,Year,Mean,Highest,Lowest
0,2003,186.79,269.0,129.0
1,2004,194.4,274.0,124.0
2,2005,194.02,301.0,135.0
3,2006,197.48,318.0,144.0
4,2007,199.85,298.0,137.0
5,2008,199.9,284.0,148.0
6,2009,200.89,279.0,147.0
7,2010,199.1,276.0,143.0
8,2011,192.52,289.0,141.0
9,2012,196.28,273.0,139.0
10,2013,202.02,275.0,149.0
11,2014,200.03,287.0,134.0
12,2015,205.34,291.0,152.0
13,2016,211.18,281.0,144.0
14,2017,212.67,290.0,158.0
15,2018,222.42,329.0,168.0
16,2019,223.6,317.0,156.0
17,2020,224.08,295.0,165.0
18,2021,221.23,310.0,171.0
